word,type_id,comptype_id,altcomp,altsup,category,createdAt,updatedAt
little,7,1,,,basic,now(),now()
local,12,2,,,basic,now(),now()
lonely,3,1,,,basic,now(),now()
long,12,1,,,basic,now(),now()
long-term,17,2,,,basic,now(),now()
loud,4,1,,,basic,now(),now()
low,7,1,,,basic,now(),now()
luminous,15,2,,,basic,now(),now()
lumpy,6,1,,,basic,now(),now()
lunar,18,2,,,basic,now(),now()
luscious,5,2,,,basic,now(),now()
main,2,4,,,basic,now(),now()
major,2,4,,,basic,now(),now()
many,1,4,,,basic,now(),now()
mature,11,2,,,basic,now(),now()
mediocre,2,2,,,basic,now(),now()
metal,19,4,,,basic,now(),now()
metallic,16,2,,,basic,now(),now()
Mexican,18,2,,,basic,now(),now()
military,14,2,,,basic,now(),now()
million,1,4,,,basic,now(),now()
modern,11,2,,,basic,now(),now()
monstrous,7,2,,,basic,now(),now()
morning,17,4,,,basic,now(),now()
mountainous,7,2,,,basic,now(),now()
muffled,4,2,,,basic,now(),now()
musty,8,1,,,basic,now(),now()
mute,4,1,,,basic,now(),now()
national,14,2,,,basic,now(),now()
natural,14,2,,,basic,now(),now()
nearby,12,2,,,basic,now(),now()
neighboring,12,2,,,basic,now(),now()
new,2,1,,,basic,now(),now()
nice,3,1,,,basic,now(),now()
night,17,4,,,basic,now(),now()
nine,1,4,,,basic,now(),now()
nippy,10,1,,,basic,now(),now()
no,1,4,,,basic,now(),now()
noisy,4,1,,,basic,now(),now()
northern,18,2,,,basic,now(),now()
noxious,8,2,,,basic,now(),now()
obese,7,2,,,basic,now(),now()
oblong,13,2,,,basic,now(),now()
oceanic,18,2,,,basic,now(),now()
old,11,1,,,basic,now(),now()
old-fashioned,11,2,,,basic,now(),now()
one,1,4,,,basic,now(),now()
only,1,4,,,basic,now(),now()
open,14,2,,,basic,now(),now()
orange,16,1,,,basic,now(),now()
ornate,14,2,,,basic,now(),now()
other,1,4,,,basic,now(),now()
outgoing,3,2,,,basic,now(),now()
outlying,12,2,,,basic,now(),now()
oval,13,2,,,basic,now(),now()
overdue,17,2,,,basic,now(),now()
palatable,5,2,,,basic,now(),now()
pale,15,1,,,basic,now(),now()
past,17,4,,,basic,now(),now()
pastel,16,2,,,basic,now(),now()
perfumed,8,2,,,basic,now(),now()
personal,3,2,,,basic,now(),now()
physical,3,2,,,basic,now(),now()
pink,16,1,,,basic,now(),now()
pitted,6,2,,,basic,now(),now()
plastic,19,2,,,basic,now(),now()
plump,7,1,,,basic,now(),now()
polar,18,2,,,basic,now(),now()
polished,6,2,,,basic,now(),now()
political,3,2,,,basic,now(),now()
poor,3,1,,,basic,now(),now()
popular,3,2,,,basic,now(),now()
portly,7,2,,,basic,now(),now()
possible,3,2,,,basic,now(),now()
pretty,2,1,,,basic,now(),now()
private,3,2,,,basic,now(),now()
prompt,9,1,,,basic,now(),now()
public,3,2,,,basic,now(),now()
punctual,17,2,,,basic,now(),now()
pungent,8,2,,,basic,now(),now()
purple,16,1,,,basic,now(),now()
putrid,8,2,,,basic,now(),now()
quick,9,1,,,basic,now(),now()
quick-witted,3,2,,,basic,now(),now()
quiet,4,1,,,basic,now(),now()
racing,20,2,,,basic,now(),now()
radiant,15,2,,,basic,now(),now()
rapid,9,1,,,basic,now(),now()
ready,14,2,,,basic,now(),now()
real,14,2,,,basic,now(),now()
recent,11,2,,,basic,now(),now()
red,16,1,,,basic,now(),now()
reeking,8,2,,,basic,now(),now()
religious,14,2,,,basic,now(),now()
remote,12,1,,,basic,now(),now()
right,12,2,,,basic,now(),now()
rolling,20,2,,,basic,now(),now()
rotund,13,2,,,basic,now(),now()
rough,6,1,,,basic,now(),now()
round,13,1,,,basic,now(),now()
rowdy,4,1,,,basic,now(),now()
rushing,9,2,,,basic,now(),now()
sad,3,1,,,basic,now(),now()
salty,5,1,,,basic,now(),now()
savory,5,2,,,basic,now(),now()
scalding,10,2,,,basic,now(),now()
scaly,6,1,,,basic,now(),now()
scared,3,1,,,basic,now(),now()
scented,8,2,,,basic,now(),now()
scratchy,6,1,,,basic,now(),now()
scrawny,7,1,,,basic,now(),now()
screaming,4,2,,,basic,now(),now()
serious,3,2,,,basic,now(),now()
serpentine,13,2,,,basic,now(),now()
seven,1,4,,,basic,now(),now()
several,1,4,,,basic,now(),now()
shadowy,15,1,,,basic,now(),now()
shimmering,15,2,,,basic,now(),now()
shining,15,2,,,basic,now(),now()
short,7,1,,,basic,now(),now()
shouting,4,2,,,basic,now(),now()
significant,2,2,,,basic,now(),now()
silent,4,2,,,basic,now(),now()
silicon,19,4,,,basic,now(),now()
silky,6,1,,,basic,now(),now()
silver,16,1,,,basic,now(),now()
similar,2,2,,,basic,now(),now()
simple,2,1,,,basic,now(),now()
single,3,4,,,basic,now(),now()
six,1,4,,,basic,now(),now()
